"","Marital_Status","Term","Phone_service","International_plan","Voice_mail_plan","Multiple_line","Internet_service","Technical_support","Streaming_Videos","Agreement_period","Monthly_Charges","Total_Charges","Churn"
"785","Married",2,"Yes","Yes","No","No","Fiber optic","No","No","Monthly contract",70.6,89.5,"Yes"
"822","Single",60,"Yes","yes","Yes","Yes","No Internet","No internet ","No internet ","Two year contract",25.4,1216.6,"No"
"377","Married",2,"Yes","Yes","Yes","Yes","Fiber optic","No","No","Monthly contract",79.4,20,"No"
"665","Married",6,"Yes","yes","No","Yes","Fiber optic","No","No","Monthly contract",81.35,424.45,"Yes"
"60","Married",25,"Yes","Yes","Yes","No","Cable","No","No","Monthly contract",72.85,1929.35,"Yes"
"727","Married",30,"Yes","No","Yes","Yes","Fiber optic","Yes","Yes","One year contract",113.25,3327.05,"No"
"549","Single",15,"Yes","yes","No","No","No Internet","No internet ","No internet ","One year contract",20.8,219.35,"No"
"444","Single",43,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",20.15,927.1,"No"
"268","Single",49,"Yes","No","Yes","No","No Internet","No internet ","No internet ","Two year contract",20.5,868.1,"No"
"453","Single",8,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.6,267,"No"
"670","Single",41,"Yes","yes","No","No","No Internet","No internet ","No internet ","One year contract",20.55,720.05,"No"
"661","Married",68,"Yes","No","No","Yes","DSL","Yes","No","Two year contract",79.45,5411.4,"No"
"134","Married",57,"No","No","No","No phone ","DSL","Yes","No","Two year contract",30.1,1782,"No"
"770","Married",45,"Yes","No","No","Yes","DSL","No","Yes","Two year contract",79.7,2958.95,"No"
"987","Married",71,"Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Two year contract",107.5,7882.25,"No"
"178","Single",43,"Yes","Yes","Yes","Yes","No Internet","No internet ","No internet ","Two year contract",24.7,1270.25,"No"
"758","Married",60,"No","No","No","No phone ","DSL","Yes","No","Two year contract",42.1,2550.9,"No"
"434","Married",24,"Yes","yes","Yes","No","Fiber optic","No","No","Monthly contract",79.85,1712.7,"Yes"
"945","Married",53,"Yes","No","No","Yes","Fiber optic","Yes","Yes","One year contract",104.8,6017.65,"No"
"163","Married",20,"Yes","No","No","Yes","Cable","No","Yes","Monthly contract",105.35,2239.4,"No"
"847","Married",30,"Yes","No","Yes","Yes","Fiber optic","Yes","No","One year contract",81.2,2651.1,"No"
"575","Married",66,"Yes","No","Yes","Yes","Fiber optic","No","Yes","One year contract",105.9,7085.5,"No"
"521","Married",62,"Yes","No","Yes","Yes","Fiber optic","No","Yes","One year contract",94.4,5459.2,"Yes"
"950","Single",58,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","One year contract",20.05,1090.65,"No"
"965","Single",56,"No","No","No","No phone ","DSL","No","No","One year contract",45.25,2688.85,"No"
"179","Married",3,"Yes","Yes","Yes","No","Cable","No","No","Monthly contract",83.55,244.75,"No"
"238","Married",27,"Yes","Yes","No","Yes","Cable","Yes","Yes","One year contract",110.85,2681.15,"No"
"839","Married",4,"Yes","yes","Yes","Yes","DSL","Yes","Yes","Monthly contract",65.55,308.05,"No"
"514","Single",1,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20,147.15,"No"
"42","Married",50,"No","No","No","No phone ","Cable","No","No","One year contract",52.55,2473.95,"No"
"172","Married",71,"Yes","No","Yes","Yes","Cable","Yes","No","Two year contract",90.95,6782.15,"No"
"495","Single",1,"Yes","yes","No","No","No Internet","No internet ","No internet ","Monthly contract",19.85,181.5,"No"
"176","Married",1,"Yes","Yes","Yes","Yes","Cable","No","No","Monthly contract",82.4,38.8,"No"
"774","Married",36,"Yes","No","No","Yes","Fiber optic","No","No","Monthly contract",88.8,2917.5,"No"
"67","Single",55,"Yes","Yes","Yes","Yes","No Internet","No internet ","No internet ","Two year contract",25.7,1423.85,"No"
"824","Single",70,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",19.9,1357.1,"No"
"375","Married",1,"Yes","Yes","Yes","No","DSL","No","Yes","Monthly contract",68.75,47.7,"Yes"
"459","Married",26,"Yes","No","Yes","Yes","Fiber optic","Yes","No","Monthly contract",89.15,2857.6,"No"
"576","Single",42,"Yes","yes","Yes","Yes","No Internet","No internet ","No internet ","Two year contract",24.75,1174.8,"No"
"370","Married",58,"Yes","Yes","Yes","Yes","Fiber optic","Yes","No","One year contract",96.35,5000.2,"No"
"465","Single",2,"No","No","No","No phone ","DSL","Yes","No","Monthly contract",24.25,19.9,"No"
"508","Married",62,"Yes","No","Yes","Yes","Fiber optic","No","Yes","One year contract",100.5,6413.65,"Yes"
"56","Married",32,"Yes","No","No","Yes","Cable","No","No","Monthly contract",81.1,2516.2,"No"
"627","Single",35,"Yes","Yes","No","Yes","No Internet","No internet ","No internet ","Two year contract",25.05,835.15,"No"
"467","Single",66,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",19.3,1397.65,"No"
"290","Married",15,"Yes","Yes","Yes","No","Cable","No","No","Monthly contract",81.7,713.75,"No"
"460","Single",1,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20.15,29.85,"No"
"983","Married",29,"Yes","Yes","No","Yes","Fiber optic","Yes","Yes","Monthly contract",98.5,2830.45,"No"
"33","Single",5,"Yes","Yes","Yes","No","Cable","No","No","Monthly contract",44.8,191.05,"No"
"910","Married",0,"Yes","yes","Yes","Yes","Fiber optic","No","No","Monthly contract",80.25,19.75,"No"
"582","Married",15,"Yes","Yes","Yes","No","Fiber optic","Yes","Yes","One year contract",98.8,1238.45,"No"
"52","Married",25,"Yes","No","Yes","No","Cable","Yes","Yes","One year contract",99.45,2686.05,"No"
"156","Single",1,"Yes","No","No","No","No Internet","No internet ","No internet ","Monthly contract",20.25,79.35,"No"
"174","Married",11,"Yes","Yes","Yes","No","DSL","Yes","Yes","Two year contract",75.3,760.05,"No"
"724","Married",69,"No","No","No","No phone ","DSL","Yes","Yes","Two year contract",54.6,3687.75,"No"
"511","Married",52,"Yes","No","Yes","Yes","Fiber optic","No","No","Monthly contract",80.35,4542.35,"No"
"111","Married",28,"Yes","Yes","Yes","No","DSL","No","Yes","Monthly contract",64.95,1785.65,"No"
"260","Single",26,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","One year contract",19.4,537.35,"No"
"50","Single",1,"Yes","Yes","Yes","Yes","No Internet","No internet ","No internet ","Monthly contract",25.25,85.7,"No"
"113","Married",59,"Yes","No","No","Yes","Cable","Yes","Yes","One year contract",104.8,5509.3,"No"
"7","Married",1,"Yes","Yes","Yes","Yes","Cable","No","No","Monthly contract",89.2,38.8,"No"
"102","Married",1,"Yes","No","Yes","No","Cable","No","No","Monthly contract",70.4,19.9,"No"
"639","Married",15,"Yes","yes","Yes","No","Fiber optic","No","Yes","Monthly contract",94.8,1120.95,"Yes"
"296","Married",1,"Yes","No","Yes","No","DSL","Yes","No","Monthly contract",58.95,25.35,"No"
"845","Single",18,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20.05,514.75,"No"
"948","Married",72,"Yes","No","No","Yes","Fiber optic","Yes","Yes","Two year contract",114.95,8476.5,"No"
"437","Married",26,"Yes","No","Yes","Yes","Fiber optic","Yes","Yes","One year contract",104.95,2514.5,"No"
"31","Married",31,"Yes","No","Yes","Yes","Cable","Yes","Yes","Monthly contract",115.1,3046.05,"Yes"
"716","Married",6,"Yes","yes","Yes","No","Fiber optic","No","Yes","Monthly contract",93.95,424.45,"No"
"105","Married",15,"Yes","No","Yes","No","Cable","Yes","No","Monthly contract",98.05,1667.25,"Yes"
"740","Married",1,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20.4,38.8,"No"
"577","Single",41,"No","No","No","No phone ","Cable","No","Yes","Monthly contract",41.15,702,"No"
"108","Single",15,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.7,237.7,"No"
"363","Single",8,"No","No","No","No phone ","DSL","No","No","Monthly contract",25.25,275.7,"No"
"637","Single",18,"No","No","No","No phone ","DSL","No","No","Monthly contract",30.4,805.1,"No"
"541","Married",72,"Yes","No","No","Yes","Cable","Yes","Yes","Two year contract",89.65,6562.9,"No"
"949","Single",17,"No","No","No","No phone ","DSL","No","No","Monthly contract",44.85,540.95,"Yes"
"831","Married",22,"Yes","yes","No","Yes","Fiber optic","No","Yes","Monthly contract",93.35,1862.9,"No"
"671","Married",71,"Yes","Yes","No","Yes","Fiber optic","Yes","Yes","Two year contract",110.8,8126.65,"No"
"148","Single",1,"Yes","No","No","No","No Internet","No internet ","No internet ","Monthly contract",19.7,20.05,"No"
"648","Married",71,"Yes","No","No","Yes","Fiber optic","Yes","Yes","Two year contract",108.05,7984.15,"Yes"
"668","Married",70,"Yes","No","No","No","DSL","No","Yes","Two year contract",74.75,4543.15,"No"
"504","Married",58,"Yes","Yes","Yes","Yes","DSL","Yes","Yes","Two year contract",75.8,4461.85,"No"
"77","Married",47,"Yes","Yes","No","Yes","DSL","Yes","No","Two year contract",59.6,3342.45,"No"
"749","Married",5,"No","No","No","No phone ","DSL","No","No","Monthly contract",25.25,77.6,"No"
"509","Single",20,"No","No","No","No phone ","DSL","Yes","Yes","Monthly contract",45.3,1277.5,"No"
"607","Married",27,"Yes","yes","No","No","DSL","Yes","Yes","One year contract",81.05,2015.35,"No"
"133","Married",28,"Yes","Yes","No","Yes","Cable","No","No","Monthly contract",80.6,2656.5,"Yes"
"543","Married",2,"No","No","No","No phone ","Cable","Yes","No","Monthly contract",54.85,19.9,"No"
"272","Married",33,"Yes","No","No","Yes","DSL","No","Yes","Monthly contract",78.75,2111.3,"No"
"171","Married",4,"Yes","Yes","Yes","Yes","Cable","No","Yes","Monthly contract",100.5,531,"Yes"
"306","Married",1,"Yes","No","Yes","No","DSL","No","Yes","Monthly contract",59.95,174.8,"Yes"
"57","Married",60,"Yes","No","Yes","Yes","Cable","Yes","Yes","Monthly contract",104.8,5614.45,"Yes"
"360","Married",19,"Yes","Yes","Yes","No","Fiber optic","Yes","No","Monthly contract",80.05,1683.7,"No"
"685","Married",29,"Yes","yes","Yes","Yes","No Internet","No internet ","No internet ","Two year contract",25.05,759.35,"No"
"706","Married",46,"Yes","yes","No","No","No Internet","No internet ","No internet ","Two year contract",20.05,1252,"No"
"862","Married",2,"Yes","yes","No","No","Fiber optic","No","Yes","Monthly contract",95.15,71.1,"Yes"
"457","Single",2,"Yes","yes","Yes","No","DSL","No","No","Monthly contract",45.25,34.75,"Yes"
"441","Married",15,"Yes","yes","Yes","No","Fiber optic","No","No","Monthly contract",72.85,771.95,"Yes"
"964","Married",22,"Yes","yes","Yes","No","Fiber optic","No","Yes","Monthly contract",86.45,1899.65,"No"
"19","Married",7,"Yes","No","No","No","Cable","No","Yes","Monthly contract",98.5,445.95,"Yes"
"440","Single",56,"Yes","yes","Yes","Yes","No Internet","No internet ","No internet ","Two year contract",26.4,1423.85,"No"
"625","Married",66,"Yes","Yes","No","Yes","Fiber optic","Yes","Yes","Two year contract",108.65,7076.35,"No"
"578","Married",27,"Yes","No","Yes","No","Fiber optic","Yes","Yes","One year contract",105,2595.25,"Yes"
"333","Single",5,"Yes","Yes","No","No","DSL","No","No","Monthly contract",44.7,77.6,"Yes"
"842","Single",1,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.85,97,"No"
"783","Single",41,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",20.6,624.15,"No"
"973","Married",12,"Yes","yes","Yes","No","DSL","Yes","No","Monthly contract",55.2,771.95,"Yes"
"563","Married",29,"Yes","No","Yes","Yes","Fiber optic","Yes","No","One year contract",89.15,2538.05,"No"
"900","Married",50,"Yes","No","Yes","Yes","Fiber optic","No","Yes","Monthly contract",94.4,4016.75,"No"
"882","Married",25,"Yes","yes","No","No","Fiber optic","No","No","Monthly contract",75.5,2028.8,"No"
"556","Married",15,"Yes","yes","Yes","No","Cable","Yes","No","Monthly contract",65,731.3,"No"
"866","Married",69,"Yes","Yes","No","Yes","Fiber optic","Yes","No","Two year contract",85.3,6094.25,"No"
"100","Married",71,"Yes","No","Yes","Yes","DSL","Yes","No","Two year contract",69.65,4807.45,"No"
"193","Married",68,"Yes","No","No","No","Cable","No","Yes","One year contract",97.55,6858.9,"No"
"422","Married",45,"Yes","No","No","Yes","Fiber optic","Yes","Yes","One year contract",113.3,4874.8,"No"
"305","Single",3,"Yes","No","No","Yes","No Internet","No internet ","No internet ","Monthly contract",25.7,61.7,"No"
"865","Single",1,"Yes","yes","No","No","DSL","No","No","Monthly contract",44.6,24.6,"No"
"552","Married",3,"Yes","yes","No","No","Cable","Yes","No","Monthly contract",58.95,302.6,"Yes"
"850","Single",7,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20.5,326.8,"No"
"799","Single",16,"No","No","No","No phone ","DSL","No","No","Monthly contract",40.4,444.75,"Yes"
"130","Married",72,"Yes","No","No","Yes","DSL","No","Yes","Two year contract",78.4,5714.25,"No"
"211","Married",71,"Yes","Yes","No","Yes","DSL","No","Yes","Two year contract",78.4,5411.4,"No"
"297","Married",56,"Yes","No","Yes","Yes","Cable","No","No","One year contract",93.85,5000.2,"Yes"
"155","Married",68,"No","No","No","No phone ","DSL","Yes","Yes","Monthly contract",59.85,3975.7,"No"
"225","Married",32,"Yes","No","Yes","No","DSL","Yes","Yes","Monthly contract",69.5,2438.6,"No"
"615","Single",47,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",20.35,930.9,"No"
"89","Married",25,"Yes","Yes","Yes","No","Cable","No","No","Monthly contract",76.05,2028.8,"Yes"
"447","Married",47,"Yes","No","Yes","Yes","DSL","Yes","Yes","Two year contract",71.4,3173.35,"No"
"198","Married",63,"Yes","No","Yes","Yes","Cable","No","Yes","Monthly contract",85.5,5965.95,"No"
"442","Married",60,"Yes","No","No","No","DSL","No","Yes","Monthly contract",79.2,4326.8,"No"
"405","Single",70,"Yes","yes","No","No","No Internet","No internet ","No internet ","Two year contract",20.55,1566.9,"No"
"635","Married",15,"Yes","yes","Yes","No","Fiber optic","Yes","Yes","Monthly contract",101.9,1288.3,"Yes"
"905","Single",15,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20.4,301.9,"No"
"96","Single",65,"No","No","No","No phone ","DSL","Yes","Yes","Two year contract",45.3,3687.75,"No"
"673","Married",63,"Yes","Yes","No","No","Fiber optic","No","Yes","One year contract",94.4,5817,"No"
"28","Married",12,"Yes","Yes","Yes","No","Cable","No","No","Monthly contract",81.7,764.55,"Yes"
"209","Married",70,"Yes","Yes","No","No","DSL","No","Yes","Two year contract",55,3975.7,"No"
"610","Married",34,"Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Monthly contract",105.25,3741.85,"Yes"
"489","Married",71,"Yes","No","Yes","Yes","Fiber optic","No","Yes","Two year contract",104.15,6858.9,"No"
"593","Married",9,"Yes","yes","No","No","Fiber optic","No","No","Monthly contract",74.4,697.25,"Yes"
"502","Married",58,"Yes","Yes","No","Yes","Fiber optic","No","Yes","One year contract",99.7,5794.65,"Yes"
"887","Single",15,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.95,233.9,"No"
"397","Married",45,"Yes","No","No","Yes","DSL","No","No","Monthly contract",54.75,2550.9,"No"
"170","Married",21,"Yes","No","Yes","Yes","Cable","Yes","Yes","Monthly contract",110,2172.05,"Yes"
"644","Married",34,"Yes","yes","Yes","No","DSL","Yes","Yes","Two year contract",74.75,2111.3,"No"
"885","Married",43,"Yes","No","Yes","No","Fiber optic","No","Yes","Monthly contract",95.5,4738.3,"Yes"
"49","Single",35,"Yes","Yes","Yes","Yes","No Internet","No internet ","No internet ","Monthly contract",25.55,697.65,"No"
"342","Married",10,"Yes","No","Yes","No","Fiber optic","Yes","Yes","Two year contract",96.1,1008.55,"No"
"488","Married",71,"Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Two year contract",108.55,7984.15,"No"
"87","Single",9,"Yes","Yes","No","No","No Internet","No internet ","No internet ","Monthly contract",20.85,268.45,"No"
"205","Married",47,"Yes","Yes","No","Yes","Cable","Yes","Yes","One year contract",104.8,4874.8,"No"
"884","Married",72,"Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Two year contract",113.1,8248.5,"No"
"656","Married",24,"Yes","yes","No","No","Fiber optic","No","No","Monthly contract",75.1,1861.5,"No"
"129","Married",16,"Yes","No","No","No","DSL","No","No","Monthly contract",48.85,422.3,"Yes"
"645","Single",60,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",19.6,1107.2,"No"
"125","Married",4,"Yes","No","Yes","Yes","No Internet","No internet ","No internet ","Monthly contract",25.25,82.15,"No"
"979","Single",1,"Yes","yes","No","No","No Internet","No internet ","No internet ","One year contract",19.85,119.5,"No"
"54","Married",13,"Yes","Yes","Yes","Yes","Cable","Yes","Yes","Monthly contract",104.65,1410.25,"Yes"
"419","Married",3,"Yes","yes","Yes","No","Fiber optic","No","Yes","Monthly contract",80.25,302.6,"Yes"
"345","Married",50,"Yes","No","Yes","Yes","Fiber optic","No","Yes","Monthly contract",98.65,4422.95,"Yes"
"403","Married",44,"Yes","Yes","Yes","Yes","DSL","No","No","Monthly contract",59.6,3437.45,"No"
"456","Single",1,"Yes","yes","Yes","No","DSL","No","No","Monthly contract",49.25,89.5,"No"
"908","Married",18,"Yes","yes","Yes","No","Fiber optic","Yes","Yes","Monthly contract",101.9,1934.45,"No"
"240","Married",4,"Yes","Yes","Yes","Yes","DSL","Yes","No","One year contract",58.95,302.6,"No"
"903","Married",71,"Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Two year contract",114.95,8404.9,"No"
"21","Married",1,"Yes","No","No","No","Cable","No","No","Monthly contract",75.05,75.05,"Yes"
"34","Married",70,"Yes","No","Yes","No","Cable","Yes","No","Two year contract",66.85,4908.25,"No"
"871","Married",70,"Yes","Yes","Yes","Yes","DSL","Yes","Yes","Two year contract",89.05,6254.45,"Yes"
"167","Married",58,"Yes","No","Yes","Yes","Cable","Yes","Yes","Monthly contract",107,6519.75,"No"
"380","Married",6,"Yes","Yes","Yes","No","Fiber optic","No","Yes","Monthly contract",83.3,434.5,"Yes"
"796","Married",49,"Yes","No","No","Yes","Fiber optic","No","Yes","Monthly contract",100.5,4914.9,"Yes"
"143","Married",15,"Yes","Yes","Yes","No","Cable","Yes","No","Monthly contract",86.8,1559.25,"No"
"227","Married",58,"Yes","No","Yes","No","DSL","Yes","Yes","Two year contract",80.6,4039.5,"No"
"828","Married",10,"Yes","yes","No","No","Fiber optic","Yes","Yes","Monthly contract",105.5,1008.55,"Yes"
"584","Married",22,"Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Monthly contract",95.1,1975.85,"Yes"
"438","Married",4,"Yes","yes","Yes","No","Fiber optic","No","No","Monthly contract",69.85,292.8,"Yes"
"448","Married",56,"Yes","No","Yes","No","DSL","Yes","No","Two year contract",73.5,4461.85,"No"
"538","Married",1,"Yes","Yes","Yes","Yes","Fiber optic","No","No","Monthly contract",78.3,35.9,"No"
"37","Married",45,"No","No","No","No phone ","Cable","Yes","Yes","One year contract",60.3,2754,"No"
"80","Married",15,"Yes","Yes","No","No","Cable","Yes","No","One year contract",79.95,1074.3,"No"
"104","Married",68,"Yes","No","Yes","No","DSL","No","Yes","Monthly contract",81.15,5589.3,"No"
"446","Married",8,"Yes","yes","Yes","No","DSL","Yes","No","Two year contract",69.65,655.5,"No"
"805","Married",4,"Yes","yes","Yes","Yes","DSL","Yes","No","Monthly contract",55.2,334.8,"Yes"
"890","Married",72,"Yes","No","Yes","Yes","DSL","Yes","Yes","Two year contract",92,6369.45,"No"
"151","Married",22,"Yes","No","Yes","No","Cable","No","No","Monthly contract",75.2,1901.05,"No"
"719","Married",6,"Yes","yes","No","Yes","Fiber optic","No","No","Monthly contract",74.35,567.8,"Yes"
"980","Single",38,"Yes","yes","Yes","Yes","No Internet","No internet ","No internet ","Two year contract",24.8,865,"No"
"466","Single",20,"Yes","Yes","Yes","Yes","No Internet","No internet ","No internet ","Two year contract",25.4,587.4,"No"
"780","Married",20,"Yes","Yes","Yes","No","Fiber optic","Yes","Yes","One year contract",89.9,2162.6,"No"
"252","Married",72,"Yes","No","No","Yes","Fiber optic","Yes","Yes","Two year contract",111.65,7966.9,"No"
"340","Married",10,"Yes","No","No","Yes","DSL","No","Yes","Monthly contract",58.95,834.1,"No"
"270","Married",2,"Yes","No","Yes","No","Cable","No","No","Monthly contract",80.85,90.85,"No"
"523","Married",60,"Yes","No","No","Yes","Cable","Yes","Yes","Two year contract",89.85,4884.85,"No"
"962","Married",50,"Yes","No","Yes","Yes","DSL","Yes","No","One year contract",64.35,3009.5,"No"
"189","Married",2,"Yes","Yes","No","No","DSL","No","No","Monthly contract",51.8,19.25,"No"
"427","Married",4,"Yes","yes","Yes","No","Fiber optic","No","No","Monthly contract",69.55,341.6,"No"
"116","Married",66,"Yes","Yes","Yes","Yes","Cable","No","No","Monthly contract",92.05,5308.7,"No"
"145","Married",47,"No","No","No","No phone ","DSL","No","No","Monthly contract",42.3,2348.45,"Yes"
"425","Single",2,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.45,19.25,"No"
"75","Single",22,"Yes","Yes","Yes","Yes","No Internet","No internet ","No internet ","Monthly contract",25.8,587.4,"No"
"202","Married",1,"Yes","Yes","Yes","No","DSL","Yes","Yes","Monthly contract",69.5,73.6,"No"
"596","Married",72,"Yes","No","No","Yes","Fiber optic","Yes","Yes","Two year contract",115.75,8468.2,"No"
"653","Single",18,"Yes","yes","No","No","DSL","No","No","One year contract",45.7,1253.15,"No"
"473","Married",21,"Yes","yes","Yes","Yes","Fiber optic","No","No","Monthly contract",78.95,1231.85,"No"
"230","Married",4,"Yes","Yes","No","No","DSL","Yes","No","Monthly contract",69.5,313.6,"No"
"300","Married",57,"Yes","No","Yes","Yes","Cable","Yes","Yes","Monthly contract",99.75,5509.3,"No"
"13","Single",1,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.9,74.6,"No"
"66","Single",17,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.75,204.55,"No"
"393","Married",72,"Yes","No","No","Yes","Fiber optic","No","No","Two year contract",78.9,5468.45,"No"
"38","Married",13,"Yes","No","No","Yes","Cable","Yes","Yes","One year contract",100.55,1511.2,"No"
"399","Married",10,"Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Two year contract",100.55,858.6,"No"
"779","Married",54,"Yes","No","Yes","Yes","DSL","Yes","No","One year contract",73.5,4054.2,"No"
"861","Married",68,"Yes","No","No","Yes","DSL","Yes","Yes","Two year contract",73.25,4732.35,"No"
"532","Married",72,"Yes","Yes","Yes","Yes","Cable","No","Yes","Two year contract",79.7,5293.95,"No"
"325","Married",10,"Yes","Yes","Yes","No","DSL","No","No","Monthly contract",64.5,887.35,"Yes"
"464","Single",72,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",20.35,1360.25,"No"
"597","Single",44,"Yes","yes","No","Yes","No Internet","No internet ","No internet ","One year contract",25.7,1505.9,"No"
"947","Single",5,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20,94.15,"No"
"257","Married",66,"Yes","No","No","Yes","Fiber optic","No","Yes","One year contract",100.35,7250.15,"No"
"853","Married",72,"Yes","Yes","Yes","Yes","DSL","Yes","Yes","Two year contract",85.75,5986.45,"No"
"978","Married",64,"No","No","No","No phone ","DSL","No","No","Monthly contract",52.55,3139.8,"Yes"
"826","Married",56,"Yes","No","No","Yes","Fiber optic","No","Yes","One year contract",110.3,6396.45,"Yes"
"435","Married",66,"Yes","No","Yes","Yes","DSL","Yes","Yes","Two year contract",89.85,5755.8,"No"
"768","Married",22,"Yes","yes","No","Yes","Fiber optic","No","Yes","Monthly contract",99.8,1842.8,"Yes"
