"","Carrier","Airport_Distance","Number_of_flights","Weather","Support_Crew_Available","Baggage_loading_time","Late_Arrival_o","Cleaning_o","Fueling_o","Security_o","Arr_Delay"
"300","EV",476,49145,6,174,18,19,8,23,37,135
"301","MQ",451,42012,5,88,16,19,9,19,40,43
"302","UA",440,40758,5,61,16,18,10,33,36,43
"304","WN",395,36185,5,124,15,17,4,26,32,4
"305","UA",454,40211,6,75,17,18,11,24,37,66
"306","US",439,39238,6,80,17,19,7,22,32,63
"307","EV",444,45425,6,141,17,19,13,27,37,82
"309","EV",445,39766,5,88,17,18,7,20,32,46
"310","VX",429,39446,5,50,17,19,6,32,41,58
"312","UA",435,41339,6,64,17,19,7,26,40,66
"313","EV",440,41695,5,53,17,18,12,23,34,79
"314","B6",437,42696,5,87,17,18,9,26,26,61
"315","EV",435,45026,6,69,18,19,12,30,33,106
"316","MQ",437,40959,6,122,16,18,15,28,41,39
"317","UA",461,48148,6,106,18,20,8,23,42,125
"318","AA",454,44818,6,48,18,19,11,29,38,100
"319","DL",463,48193,5,1,18,20,7,24,42,121
"320","WN",425,40571,5,91,17,17,5,25,41,37
"325","DL",431,45773,6,52,17,20,14,24,46,74
"326","UA",483,44511,5,61,17,19,15,25,38,93
"327","AA",466,48271,5,65,18,19,10,18,46,111
"328","WN",434,44227,5,115,17,19,7,28,35,63
"329","EV",462,44907,5,77,17,18,15,22,48,83
"330","AA",480,49174,6,65,18,20,10,19,42,160
"331","MQ",429,36591,6,53,16,18,9,28,50,34
"332","EV",439,43364,5,80,17,19,6,27,38,45
"333","DL",414,45277,6,132,18,19,7,26,20,89
"336","UA",413,38356,5,98,16,18,9,27,44,21
"337","B6",441,46767,5,90,16,19,13,26,19,67
"338","AA",424,42310,6,120,17,19,11,27,36,81
"339","UA",449,44057,5,72,17,19,13,25,49,69
"341","WN",433,41726,5,91,17,18,9,29,43,56
"342","MQ",394,38650,5,134,17,17,11,22,41,21
"343","US",430,42044,5,47,16,18,4,26,43,48
"345","B6",439,41221,6,77,18,19,13,32,35,73
"346","MQ",422,45323,5,51,17,19,6,20,48,61
"347","FL",484,43757,5,153,17,19,14,23,45,74
"348","AA",432,46516,5,79,17,19,8,33,39,90
"352","B6",435,46988,6,59,17,20,5,25,37,108
"354","EV",473,43430,6,6,18,19,3,23,48,100
"355","B6",425,42576,5,103,16,19,6,27,37,39
"356","MQ",450,47447,5,27,18,19,9,27,39,86
"357","AA",420,43916,5,77,17,21,8,21,43,80
"358","WN",438,42298,5,82,16,18,11,29,29,59
"359","B6",431,42801,5,97,17,18,15,26,21,45
"360","US",466,45217,6,49,18,21,5,23,35,137
"361","EV",453,46679,5,23,18,19,5,29,47,89
"362","EV",413,39793,5,74,16,17,11,20,30,39
"363","MQ",458,49975,5,85,18,20,23,26,31,127
"364","EV",441,47059,5,86,17,20,6,26,47,92
"365","B6",435,39413,5,73,16,19,12,25,25,48
"366","UA",420,42437,5,122,17,18,14,33,33,39
"367","DL",426,39051,5,119,16,18,5,24,37,20
"368","DL",424,43612,5,89,18,19,12,22,38,87
"369","VX",422,44869,5,59,17,19,9,24,32,72
"370","UA",436,43643,5,59,17,19,9,27,33,66
"372","B6",423,46506,5,4,18,19,9,29,39,97
"374","B6",447,44258,6,91,16,20,5,26,33,83
"375","AA",469,41113,5,85,17,19,12,24,39,49
"377","AA",427,44676,5,81,17,19,5,23,43,75
"378","EV",416,40239,5,149,17,19,20,30,42,71
"379","AA",434,43130,5,103,17,18,5,29,28,45
"381","WN",438,38604,5,99,16,18,13,25,28,56
"382","EV",461,45610,6,90,17,19,11,25,39,99
"383","B6",458,45925,5,36,18,20,11,25,38,125
"384","EV",471,45066,6,47,17,19,14,27,34,122
"385","EV",424,44484,5,66,17,19,14,29,38,98
"386","EV",461,44395,5,50,17,18,6,32,45,70
"388","EV",433,46984,5,113,18,20,10,22,29,100
"389","B6",463,43648,6,85,18,19,4,32,47,106
"390","WN",437,42848,5,42,17,19,9,24,34,56
"391","MQ",423,45154,5,81,17,18,16,24,36,75
"392","UA",463,48994,6,98,18,19,12,24,36,98
"393","UA",435,44963,5,44,17,19,8,17,42,70
"396","EV",417,37078,5,110,16,16,10,32,58,9
"397","DL",448,46889,5,117,18,20,16,22,37,118
"401","UA",481,44182,5,81,18,18,9,24,36,78
"402","UA",451,45697,6,8,17,18,13,21,39,99
"403","MQ",414,38754,5,112,17,18,6,28,19,27
"404","B6",412,46675,5,67,17,20,13,23,40,68
"406","DL",440,43721,5,79,17,20,16,23,32,92
"407","MQ",442,44095,6,30,17,19,9,24,40,108
"409","EV",455,43688,5,73,17,18,11,28,37,60
"410","EV",416,38738,5,99,16,18,7,26,39,24
"412","B6",445,43386,6,150,18,19,8,28,38,89
"414","UA",413,38313,6,120,15,18,10,27,30,15
"415","B6",450,42256,5,111,16,18,12,27,20,40
"416","UA",435,42033,5,41,16,19,6,27,40,44
"417","DL",410,45795,6,96,17,19,12,26,29,56
"418","DL",415,35525,5,165,15,17,9,30,39,3
"419","DL",462,43117,5,109,17,18,10,19,37,77
"420","DL",437,43731,5,56,17,19,16,31,44,47
"421","AA",459,47067,5,71,18,20,10,24,34,103
"423","AA",419,42727,5,85,17,18,8,28,35,82
"424","MQ",445,42894,5,115,17,18,6,30,36,76
"425","AA",426,42692,5,127,16,18,12,27,39,31
"426","US",474,45740,6,97,17,20,11,23,40,111
"427","MQ",460,41383,6,143,17,18,7,20,29,51
"428","9E",455,44816,5,117,17,19,11,22,32,64
"431","MQ",419,44616,5,143,17,18,13,30,30,68
"432","US",449,41773,5,105,17,18,9,27,41,51
"433","EV",464,42933,5,112,17,20,10,32,44,84
"434","9E",449,46657,6,93,18,19,12,31,46,102
"435","DL",461,44952,6,69,17,20,16,27,42,78
"436","B6",438,45021,6,129,18,20,10,26,53,106
"437","B6",457,44905,5,174,17,19,14,26,43,71
"438","DL",473,44595,5,23,18,20,6,25,38,98
"440","UA",457,42784,5,47,17,18,10,26,42,61
"441","UA",447,46190,6,34,17,19,5,28,42,103
"442","US",443,43495,6,127,17,18,12,21,30,59
"444","EV",453,45524,6,110,17,20,14,22,39,102
"446","B6",443,42962,5,48,17,18,9,23,39,63
"448","EV",434,41217,5,141,16,19,10,28,36,46
"449","MQ",450,39462,5,45,16,18,14,23,39,38
"450","AA",426,38543,6,102,16,19,10,31,40,45
"452","9E",449,48094,6,47,17,20,15,28,47,99
"453","MQ",395,37285,5,134,16,17,8,23,41,11
"454","UA",436,42209,5,153,16,18,13,15,38,43
"455","B6",433,42667,5,48,17,19,5,23,41,63
"456","DL",438,45869,6,46,18,19,14,23,35,109
"457","DL",452,45416,6,81,17,20,14,23,43,96
"459","EV",450,43125,5,123,17,19,9,29,27,59
"460","MQ",430,45616,6,75,18,20,4,28,47,108
"461","B6",470,45097,6,174,17,20,9,23,41,87
"463","AA",428,40425,6,145,16,18,8,31,40,28
"464","MQ",456,47035,6,41,18,19,5,30,28,114
"467","MQ",445,46452,5,114,18,20,5,28,28,133
"468","UA",444,42029,5,146,17,20,9,25,46,58
"469","UA",437,48377,5,111,17,18,10,17,44,92
"470","B6",453,44650,6,150,17,19,9,26,38,85
"471","B6",444,43965,5,45,17,19,10,29,13,79
"472","WN",437,41983,5,89,17,19,16,24,37,72
"473","AA",446,44662,5,58,17,20,9,24,39,94
"474","B6",425,42775,6,103,17,19,9,28,32,68
"475","B6",427,41651,5,82,17,19,8,30,37,69
"476","UA",450,44940,6,101,18,19,16,30,29,104
"477","AA",427,42492,6,120,17,18,6,28,28,70
"479","US",422,40140,5,41,16,18,5,22,49,43
"480","9E",447,43605,5,114,17,18,8,18,46,67
"481","EV",446,44986,5,67,18,19,13,23,43,78
"483","UA",437,39864,5,118,16,18,16,30,42,24
"484","EV",429,42582,5,120,17,19,10,22,37,71
"485","WN",439,39152,5,102,16,17,12,25,44,15
"486","DL",474,44669,5,76,18,19,12,20,27,94
"487","AA",434,40149,5,151,16,18,14,24,29,27
"488","AA",425,44771,5,32,17,19,9,21,38,65
"490","B6",452,42069,5,57,17,19,15,23,29,66
"491","DL",460,46812,6,96,18,20,11,27,31,109
"492","DL",433,44746,6,71,17,18,11,28,31,61
"493","UA",452,41248,5,86,17,19,11,29,36,59
"494","9E",432,42486,5,79,17,19,13,28,24,61
"495","DL",452,43478,6,69,18,20,9,31,39,86
"497","EV",420,40731,5,132,16,18,15,21,42,24
"498","UA",456,42641,5,9,17,19,10,18,46,83
"500","EV",453,41275,5,46,16,19,17,20,40,57
"501","FL",471,43377,5,105,17,18,5,24,30,53
"502","9E",438,43629,5,60,17,19,10,23,29,52
"503","AA",424,38695,5,81,16,18,14,21,36,12
"504","9E",438,46413,6,71,17,19,1,25,44,87
"505","DL",457,43804,5,96,17,18,8,24,30,76
"506","MQ",455,43056,5,150,17,19,9,27,37,73
"507","EV",460,44685,6,64,17,18,16,18,24,98
"508","DL",424,39765,5,111,16,17,12,21,24,33
"509","UA",455,45223,5,92,17,19,11,30,32,79
"510","EV",436,40298,5,157,17,18,10,21,42,56
"512","B6",452,43549,6,64,18,19,7,25,26,87
"513","DL",434,41893,5,212,17,18,13,28,30,57
"514","9E",436,38226,5,192,15,17,9,26,29,13
"515","UA",451,46812,5,61,17,20,6,22,38,117
"516","DL",437,39565,6,143,16,19,15,24,47,39
"517","EV",470,46017,6,73,18,20,8,21,40,119
"518","B6",444,44402,5,96,17,19,13,27,36,66
"519","WN",431,40189,5,51,17,17,12,23,39,53
"520","MQ",441,43183,5,44,17,18,15,26,41,53
"521","UA",433,42550,5,68,16,19,17,25,36,70
"522","MQ",464,42831,5,4,17,19,13,27,32,67
"523","AA",433,41289,6,71,17,19,12,33,42,82
"525","UA",426,45052,5,98,17,19,12,21,49,66
"526","AA",433,43084,5,119,17,19,5,25,40,57
"527","AA",451,48547,6,91,18,20,22,21,43,114
"528","B6",456,42611,6,58,17,19,12,36,28,42
"530","DL",439,41780,5,90,17,19,12,21,41,55
"531","DL",435,45349,6,150,17,19,3,30,47,104
"532","UA",468,41706,5,55,17,19,5,21,46,68
"533","EV",454,43761,6,107,17,19,15,26,41,77
"534","MQ",436,40606,5,13,17,18,9,27,36,50
"535","UA",453,39812,6,167,16,18,5,23,46,29
"536","DL",423,38965,5,152,16,19,3,32,37,24
"537","US",417,43453,5,103,16,18,6,24,20,53
"538","AA",466,41290,5,66,17,19,9,19,36,68
"539","B6",452,45254,6,3,18,19,12,25,35,125
"540","DL",453,46112,5,125,17,19,11,29,45,69
"542","VX",437,42792,5,78,17,19,14,24,50,76
"543","EV",442,43841,5,35,17,19,12,20,36,72
"544","DL",440,49122,5,64,17,20,7,24,38,99
"546","B6",440,44938,5,51,17,19,15,27,44,111
"547","EV",423,43470,5,86,18,19,7,24,39,87
"548","US",466,44352,5,119,18,19,9,28,37,73
"549","UA",438,44061,6,91,17,19,9,27,47,87
"550","WN",428,45611,5,33,17,20,12,26,19,88
"552","UA",440,43689,5,23,17,18,9,24,36,57
"553","UA",420,45181,6,91,17,20,11,25,41,94
"554","B6",454,46920,5,94,18,20,13,22,34,109
"555","9E",453,45492,5,65,17,19,16,27,21,83
"556","EV",442,44881,5,46,16,19,15,26,46,76
"558","AA",422,43465,5,103,17,20,3,26,41,72
"560","EV",453,46656,5,69,17,19,18,30,36,100
"562","B6",446,45152,5,53,17,19,12,16,32,84
"563","B6",466,49736,6,21,18,20,9,26,35,153
"564","AA",446,44468,5,20,17,18,12,26,44,84
"565","DL",434,44242,5,139,17,18,7,23,35,58
"566","EV",428,45117,6,21,17,20,8,27,27,88
"569","AA",446,45459,5,59,17,20,7,22,42,106
"570","DL",475,44407,6,97,17,18,11,26,35,56
"571","VX",394,38720,5,156,17,17,1,29,30,42
"572","AA",413,33783,5,71,15,17,7,20,38,6
"573","WN",419,43910,6,11,17,18,11,23,34,84
"574","UA",453,43081,5,21,17,20,14,25,34,99
"575","MQ",431,45932,5,22,18,19,5,24,45,81
"576","AA",443,44533,5,73,18,20,14,24,30,100
"577","UA",451,41757,6,126,16,18,13,25,54,46
"578","UA",466,43029,5,96,16,19,14,24,43,90
"579","AA",427,39561,5,23,16,19,9,23,33,67
"580","US",443,42388,6,37,17,18,8,26,47,73
"581","DL",447,44245,5,75,18,19,7,23,43,82
"582","UA",465,46515,5,2,18,19,11,21,45,113
"583","WN",451,46097,6,60,18,19,12,24,42,108
"584","EV",460,44835,6,54,18,20,13,21,38,108
"586","B6",469,47795,6,100,17,18,17,22,56,70
"587","UA",454,44451,6,74,16,19,8,28,20,68
"588","UA",455,45359,5,104,17,19,7,27,27,78
"591","F9",465,42901,5,110,17,19,7,26,45,71
"592","B6",464,41984,6,159,17,19,13,27,42,75
"593","UA",448,40650,6,70,17,19,11,32,61,57
"595","B6",426,40835,5,8,17,18,8,27,37,72
"596","MQ",458,47537,6,131,18,19,11,27,43,101
"597","DL",439,41004,5,166,17,19,10,24,23,61
"600","AA",450,42066,5,128,17,19,18,29,37,78
"601","UA",447,41893,5,103,17,18,11,18,41,38
"602","AA",445,41246,6,37,17,18,8,23,43,61
"603","EV",454,42389,5,79,16,18,3,21,45,45
"604","UA",435,40629,5,126,16,18,9,27,29,35
"605","FL",458,43221,5,120,17,19,10,20,49,72
"607","UA",425,43605,6,71,17,18,10,23,52,61
"608","EV",469,44428,5,90,17,18,13,25,41,72
"609","B6",454,45400,5,51,17,20,11,24,40,121
"610","B6",459,44975,6,76,18,20,16,22,45,102
"611","DL",431,43756,5,108,17,19,11,27,36,59
"613","DL",461,45515,5,55,17,20,12,25,40,96
"615","9E",432,40267,5,68,16,19,13,26,32,30
"616","B6",408,40819,5,113,16,18,7,27,30,23
"617","B6",425,42210,5,94,16,18,9,23,35,56
"618","DL",435,47801,6,50,17,19,14,27,46,104
"619","WN",424,41313,6,10,16,18,9,27,47,28
"620","B6",442,43380,5,78,17,18,11,25,44,76
"621","UA",455,42253,5,196,16,18,7,25,33,27
"622","B6",428,40345,6,181,17,20,11,29,37,72
"623","WN",453,36906,5,114,16,18,11,21,39,28
"624","B6",433,44603,5,79,17,19,-1,27,37,70
"625","UA",422,39020,5,153,16,18,6,29,40,34
"626","EV",457,40237,5,158,16,19,9,19,31,42
"627","DL",446,43993,5,44,17,19,9,29,38,77
"628","B6",429,37040,5,89,16,17,11,24,42,21
"629","B6",447,42437,6,74,17,19,10,20,47,56
"630","UA",409,40820,6,44,16,19,5,30,29,52
"631","EV",443,39697,5,108,17,19,12,25,38,46
"632","B6",442,39898,5,66,16,18,8,23,28,29
"634","DL",419,39936,5,130,16,18,8,29,29,36
"635","UA",429,44627,5,110,16,18,4,30,33,39
"637","MQ",441,43362,5,36,17,19,16,22,37,89
"638","US",430,36767,5,87,16,18,11,33,22,14
"641","AS",441,40869,5,75,16,17,8,27,39,32
"642","B6",457,41294,5,157,17,19,15,33,45,41
"643","UA",461,45584,6,134,17,19,10,26,42,82
"644","EV",419,44364,5,38,17,19,9,22,36,60
"645","B6",442,39957,6,127,17,18,6,28,38,48
"646","EV",426,47977,5,127,17,19,9,30,35,115
"647","WN",423,44729,5,91,17,19,16,20,49,72
"648","MQ",447,45528,5,23,18,19,1,25,40,117
